sample_id,SC,VF,SM,RNA,Blood,Plasma,Serum,Urine(Short),Urine (Tall),Urine_present
83,0,3,2,0,6,5,0,3,2,1
84,2,0,3,0,8,6,0,0,0,0
85,2,0,2,0,5,5,0,3,2,0
86,2,2,2,0,7,5,0,0,0,0
87,4,1,2,0,7,5,0,0,0,0
88,1,0,2,0,4,4,0,3,2,0
89,1,1,1,0,3,4,0,0,0,0
90,1,0,3,0,6,6,0,0,0,0
91,2,0,2,0,7,5,0,3,2,0
92,5,0,1,0,5,4,0,3,2,0
93,1,0,2,0,5,4,0,3,2,0
94,1,3,4,0,4,4,0,3,2,1
95,1,0,2,0,4,6,0,0,0,0
96,0,1,2,0,10,3,0,3,2,1
97,5,0,2,0,9,5,0,0,0,0
98,0,0,2,0,4,4,0,3,2,0
99,2,19,3,0,17,6,0,3,2,1
100,3,4,3,0,10,6,0,0,0,0
101,2,1,2,0,8,4,0,0,0,0
102,1,0,2,0,9,6,0,0,0,0
103,1,0,2,0,0,0,0,0,0,0
104,3,2,3,0,12,6,0,3,2,1
105,2,3,3,0,7,5,0,3,2,1
106,1,2,2,0,8,6,0,3,2,1
107,0,0,0,0,7,5,0,3,2,0
108,1,1,3,0,9,6,0,3,2,1
109,3,2,0,0,5,6,0,3,2,1
110,3,3,2,0,17,11,0,3,2,1
111,4,4,4,0,20,13,4,3,2,1
112,3,3,3,0,6,7,0,0,0,0
113,2,7,3,0,5,7,3,3,2,1
114,5,5,3,0,5,6,4,0,0,0
115,4,8,2,0,6,7,3,3,2,1
116,4,5,1,0,6,2,0,0,0,0
117,1,2,2,0,0,4,0,3,2,1
118,3,5,1,0,11,8,4,3,2,1
119,5,8,1,0,14,13,0,3,2,1
120,5,6,3,0,7,6,0,0,0,0
121,8,6,3,0,11,12,4,3,2,1
122,5,3,2,0,11,6,2,3,2,1
123,2,3,2,0,9,8,4,0,0,0
124,4,6,3,0,15,8,4,3,2,1
125,4,2,2,0,10.5,6,3,0,0,0
126,2,6,2,0,6.5,7,3,3,2,1
127,8,7,2,0,13.5,12,0,0,0,0
128,4,6,2,0,11.5,8,0,3,2,1
129,4,14,3,0,10,8,3,0,0,0
130,4,4,0,0,9,10,5,3,2,1
131,7,10,1,0,9,12,3,3,2,1
132,3,0,2,0,7,11,4,3,2,0
133,3,5,2,0,10.5,7,0,0,0,0
134,1,6,2,0,5,6,4,0,0,0
135,2,6,2,0,13,7,4,3,0,1
136,6,9,1,0,12,9,3,0,0,0
137,3,8,2,0,4,8,3,3,0,1
138,2,7,2,0,4,7,3,3,0,1
139,3,0,1,0,4,7,3,3,0,0
140,4,3,2,0,6,8,2,3,0,1
141,5,4,3,0,5,4,4,3,0,1
142,2,8,2,0,6,8,3,3,0,1
143,2,3,2,0,6,8,2,0,0,0
144,4,3,2,0,3,8,4,0,0,0
145,6,5,1,0,5,8,5,6,0,1
146,4,0,2,0,5,7,3,3,0,0
147,4,5,2,0,5,8,3,0,0,0
148,1,4,2,0,3,7,4,3,0,1
149,3,3,2,0,6,11,6,3,0,1
150,1,5,2,0,5,8,3,3,0,1
151,8,5,2,0,4,8,3,3,0,1
152,6,6,2,0,8,7,4,3,0,1
153,6,7,2,0,4.5,6,2,3,0,1
154,9,9,2,0,3,6,6,3,0,1
155,6,8,2,0,6,9,0,3,0,1
156,6,7,0,0,5,8,0,3,0,1
157,6,8,2,0,6,7,6,3,0,1
158,10,4,3,0,6,8,0,3,0,1
159,8,10,2,0,6,6,6,0,0,0
160,9,15,1,0,6,6,6,3,0,1
161,5,4,2,0,6,8,0,3,0,1
162,4,2,2,0,6,9,0,3,0,1
163,4,2,2,0,8,8,0,3,0,1
164,8,8,3,0,6,8,0,3,0,1
165,4,3,2,0,6,8,0,3,0,1
166,4,4,1,5,4,6,0,3,2,1
167,1,2,2,4,2,6,6,3,0,1
168,4,1,2,3,2,6,0,3,3,1
169,2,2,2,5,2,6,0,0,0,0
170,4,4,2,5,3,5,0,0,0,0
171,2,4,2,5,3,6,0,3,0,1
172,2,3,2,5,3,6,0,3,0,1
173,2,4,2,5,2,6,0,0,0,0
174,2,4,2,5,3,6,0,2,0,1
175,5,5,2,5,3,6,0,3,0,1
176,3,5,2,5,3,5,0,3,3,1
177,3,3,2,4,3,6,0,3,0,1
178,3,4,2,5,4,6,0,0,0,0
179,6,4,2,5,3,6,0,2,0,1
180,3,8,2,5,3,5,0,0,0,0
181,11,10,2,5,3,6,0,3,3,1
182,6,3,2,5,3,6,0,3,3,1
183,2,3,2,5,2,4,0,3,3,1
184,4,4,2,5,3,5,0,3,3,1
185,4,1,2,5,3,6,0,3,3,1
186,3,3,2,5,5,6,0,3,3,1
187,3,3,2,5,3,6,0,3,3,1
188,3,2,2,5,3,6,0,0,0,0
189,4,2,2,5,3,6,0,0,0,0
190,4,2,2,5,3,6,6,3,3,1
191,3,3,2,5,3,6,0,3,3,1
192,5,3,1,5,2,2,0,0,0,0
193,4,4,2,5,3,6,0,3,3,1
194,3,2,2,5,3,6,0,0,0,0
195,3,3,0,5,4,11,0,0,0,0
196,3,3,1,5,2,3,0,3,3,1
197,3,3,1,5,2,4,0,6,6,1
198,2,2,2,5,3,6,0,3,3,1
199,5,3,1,5,4,5,0,3,3,1
200,2,2,2,5,2,4,0,1,2,1
201,2,1,2,5,3,7,0,0,0,0
202,5,3,1,5,3,3,3,0,0,0
203,2,3,2,5,4,6,0,0,0,0
204,2,9,2,5,3,6,0,3,3,1
205,1,5,2,5,2,6,0,3,3,1
206,6,2,1,5,3,6,0,3,3,1
207,2,2,2,5,4,6,0,3,3,1
208,3,2,2,5,3,6,0,3,3,1
209,4,2,1,5,3,6,0,3,3,1
210,4,2,1,5,3,6,0,3,3,1
211,3,5,1,5,5,8,0,3,3,1
212,3,2,1,5,3,6,3,3,3,1
213,4,2,1,5,3,6,0,3,3,1
214,6,2,2,3,3,6,0,3,3,1
215,3,2,1,3,3,6,6,3,3,1
216,2,9,2,3,4,6,0,0,0,0
217,2,2,1,5,3,6,0,0,0,0
218,3,5,1,5,3,6,0,3,3,1
219,2,3,1,5,4,6,0,0,0,0
220,6,2,1,5,3,6,0,0,2,1
221,2,2,1,5,3,6,0,3,0,1
222,5,2,1,5,3,6,0,3,3,1
223,4,2,1,3,3,6,0,0,0,0
224,6,2,0,5,4,6,0,0,0,0
225,3,2,2,5,3,6,0,3,3,1
226,6,3,1,5,3,6,0,0,0,0
227,3,3,2,5,4,5,0,3,3,1
228,5,4,1,5,3,6,0,3,3,1
229,5,2,1,5,4,6,0,3,3,1
230,4,1,1,5,4,6,0,3,3,1
231,4,1,2,5,3,6,0,0,0,0
232,4,3,1,5,3,6,0,0,0,0
233,4,4,1,0,0,0,0,0,0,0
234,4,2,1,0,0,0,0,0,0,0
235,7,2,2,0,0,0,0,0,0,0
236,5,3,0,0,0,0,0,0,0,0
237,5,3,2,0,0,0,0,0,0,0
LB001,3,3,2,0,3,4,0,0,2,1
